"","Site","Quadrat","Insertion_Depth_cm","Compaction_Ratio","Core_Length_Corrected_cm","Bagged_Slice_Number","Slice_Number","Analysis","Rhizome_Removed","Slice_Height_cm","Slice_Height_Corrected_cm","Slice_Volume","OLOI","ILOI","Organic_Density_g_per_ml","Inorganic_Density_g_per_ml","Percent_Carbon","Shell_Density_g_per_ml","Rhizome_Density_g_per_ml","Factor","Sediment_Depth_cm","Sediment_Depth_Group"
"96","SJB02",3,60,0.603333333,60.0000000331492,14,5,"LOI alysis ","N",2,3.31491712890327,67.1877320721476,4.198,1.204,0.026741756933701,0.00764050198105744,1.6666122,0.000872183033906757,0.000294696656507744,"Seagrass",16.5745856445163,"10-20cm"
"97","SJB02",3,60,0.603333333,60.0000000331492,16,3,"LOI alysis ","N",2,3.31491712890327,67.1877320721476,3.102,0.714,0.0179030004868797,0.00404261301316638,1.1362578,0.00249896811250758,0.00412575319110841,"Seagrass",9.94475138670981,"0-10cm"
"98","SJB02",3,60,0.603333333,60.0000000331492,17,2,"LOI alysis ","N",2,3.31491712890327,67.1877320721476,2.67,0.807,0.0176926495855451,0.00524226654386523,0.927213,0.00577188704008601,0.00231441061045223,"Seagrass",6.62983425780654,"0-10cm"
"99","SJB02",3,60,0.603333333,60.0000000331492,18,1,"LOI alysis ","N",1.9,3.14917127245811,63.8283454685402,2.6,1.026,0.0205923871338296,0.00792014889762678,0.89334,0.0236525009213047,0.0123377786815443,"Seagrass",3.14917127245811,"0-10cm"
"100","SJB06",3,36,0.902777778,35.9999999911385,17,1,"LOI analysis ","Y",2,2.21538461483929,44.9020781366639,0.763,0.52,0.00705428374686655,0.00440892734179159,0.00441569999999997,0,0.00486614448745498,"Seagrass",2.21538461483929,"0-10cm"
"101","SJB06",3,36,0.902777778,35.9999999911385,16,2,"LOI analysis ","Y",2,2.21538461483929,44.9020781366639,1.429,0.659,0.0141144024129812,0.00705720120649061,0.3266931,0,0.0138612738168969,"Seagrass",4.43076922967858,"0-10cm"
"102","SJB06",3,36,0.902777778,35.9999999911385,15,3,"LOI analysis ","Y",2,2.21538461483929,44.9020781366639,0.598,0.495,0.00725044393288716,0.0060420366107393,0.001,0,0.00483496552964063,"Seagrass",6.64615384451787,"0-10cm"
"103","SJB06",3,36,0.902777778,35.9999999911385,13,5,"LOI analysis ","Y",2,2.21538461483929,44.9020781366639,0.559,0.461,0.00626256092522342,0.00521880077101951,0.001,0,0.00561443947499955,"Seagrass",11.0769230741965,"10-20cm"
"104","SJB06",3,36,0.902777778,35.9999999911385,12,6,"LOI analysis ","Y",2,2.21538461483929,44.9020781366639,11.887,0.386,0.130480508767724,0.00438589945437728,5.3873193,0,0.00288405359782801,"Seagrass",13.2923076890357,"10-20cm"
"105","SJB06",3,36,0.902777778,35.9999999911385,11,7,"LOI analysis ","N",2,2.21538461483929,44.9020781366639,1.389,0.483,0.0166660883205082,0.00595217440018149,0.3073371,0,0,"Seagrass",15.507692303875,"10-20cm"
