Florida Fish And Wildlife Conservation Commission,,,,,,
Commercial Landings Summary,,,,,,
Years: 1997 - 2017,,,,,,
"Species: SNAPPER, LANE",,,,,,
Subject to Revision,,,,,,
Years before 2020 are final,,,,,,
"Report created: January 28, 2021",,,,,,
,,,,,,
,,,,,,
Year,County Landed,Species,Pounds,Trips,Average Price,Estimated Value
2002,MONROE,"SNAPPER, LANE",15750,422,1.35,21211
2002,OKALOOSA,"SNAPPER, LANE",3244,158,2.26,7343
2002,PALM BEACH,"SNAPPER, LANE",3079,143,2.52,7759
2002,PASCO,"SNAPPER, LANE",143,5,1.8,256
2002,PINELLAS,"SNAPPER, LANE",2175,133,1.46,3175
2002,SARASOTA,"SNAPPER, LANE",87,7,3.22,279
2002,ST JOHNS,"SNAPPER, LANE",45,8,1.99,89
2002,ST LUCIE,"SNAPPER, LANE",442,37,2.2,972
2002,TAYLOR,"SNAPPER, LANE",7759,133,1.57,12174
2002,VOLUSIA,"SNAPPER, LANE",461,51,2.05,947
2002,WAKULLA,"SNAPPER, LANE",801,11,1.18,943
2003,BAY,"SNAPPER, LANE",428,32,1.71,731
2003,BREVARD,"SNAPPER, LANE",149,27,2.18,326
2003,BROWARD,"SNAPPER, LANE",491,48,2.2,1079
2003,CITRUS,"SNAPPER, LANE",997,99,1.73,1728
2003,COLLIER,"SNAPPER, LANE",1345,23,1.06,1423
2003,DUVAL,"SNAPPER, LANE",15,4,2.22,34
2003,ESCAMBIA,"SNAPPER, LANE",343,23,1.64,564
2003,FRANKLIN,"SNAPPER, LANE",1380,81,1.58,2178
2003,GULF,"SNAPPER, LANE",1016,19,1.73,1757
2003,HILLSBOROUGH,"SNAPPER, LANE",53,4,1.49,80
2003,INDIAN RIVER,"SNAPPER, LANE",18,1,1.8,32
2003,Inland/Out-of-State,"SNAPPER, LANE",53,5,1.84,98
2003,LEE,"SNAPPER, LANE",1690,81,1.8,3042
2003,MANATEE,"SNAPPER, LANE",302,34,2.01,608
2003,MARTIN,"SNAPPER, LANE",34,7,1.52,52
2003,MIAMI-DADE,"SNAPPER, LANE",1344,14,2,2684
2003,MONROE,"SNAPPER, LANE",11263,392,1.49,16834
2003,OKALOOSA,"SNAPPER, LANE",3377,132,2.45,8279
2003,PALM BEACH,"SNAPPER, LANE",1927,85,2.55,4912
2003,PASCO,"SNAPPER, LANE",142,10,2.57,364
2003,PINELLAS,"SNAPPER, LANE",3034,118,1.34,4071
2003,ST JOHNS,"SNAPPER, LANE",41,6,1.96,80
2003,ST LUCIE,"SNAPPER, LANE",28,8,1.5,43
2003,TAYLOR,"SNAPPER, LANE",703,44,1.6,1124
2003,VOLUSIA,"SNAPPER, LANE",262,31,2.08,545
2003,WAKULLA,"SNAPPER, LANE",539,10,1.72,930
