Florida Fish And Wildlife Conservation Commission,,,,,,
Commercial Landings Summary,,,,,,
Years: 1997 - 2017,,,,,,
"Species: SNAPPER, GREY (MANGROVE)",,,,,,
Subject to Revision,,,,,,
Years before 2020 are final,,,,,,
"Report created: January 28, 2021",,,,,,
,,,,,,
,,,,,,
Year,County Landed,Species,Pounds,Trips,Average Price,Estimated Value
2016,DUVAL,"SNAPPER, GREY (MANGROVE)",10402,199,2.52,26201
2016,ESCAMBIA,"SNAPPER, GREY (MANGROVE)",167,8,0.39,65
2016,FRANKLIN,"SNAPPER, GREY (MANGROVE)",8388,281,2.29,19236
2016,HERNANDO,"SNAPPER, GREY (MANGROVE)",81,5,2.89,234
2016,HILLSBOROUGH,"SNAPPER, GREY (MANGROVE)",83,13,1.4,116
2016,INDIAN RIVER,"SNAPPER, GREY (MANGROVE)",4908,70,4.35,21356
2016,Inland/Out-of-State,"SNAPPER, GREY (MANGROVE)",222,1,3.6,800
2016,LEE,"SNAPPER, GREY (MANGROVE)",11772,428,3.31,38926
2016,LEVY,"SNAPPER, GREY (MANGROVE)",1676,38,2.68,4488
2016,MANATEE,"SNAPPER, GREY (MANGROVE)",7503,197,2.44,18331
2016,MARTIN,"SNAPPER, GREY (MANGROVE)",223,22,4.03,899
2016,MIAMI-DADE,"SNAPPER, GREY (MANGROVE)",2665,80,2.76,7361
2016,MONROE,"SNAPPER, GREY (MANGROVE)",124577,1532,2.26,282069
2016,NASSAU,"SNAPPER, GREY (MANGROVE)",7,1,3.6,24
2016,OKALOOSA,"SNAPPER, GREY (MANGROVE)",1033,75,2.26,2341
2016,PALM BEACH,"SNAPPER, GREY (MANGROVE)",1295,131,4.14,5361
2016,PASCO,"SNAPPER, GREY (MANGROVE)",10065,55,3.02,30355
2016,PINELLAS,"SNAPPER, GREY (MANGROVE)",52894,1168,2.73,144468
2016,SANTA ROSA,"SNAPPER, GREY (MANGROVE)",4,1,0,0
2016,SARASOTA,"SNAPPER, GREY (MANGROVE)",1732,81,2.83,4899
2016,ST JOHNS,"SNAPPER, GREY (MANGROVE)",2674,81,2.25,6026
2016,ST LUCIE,"SNAPPER, GREY (MANGROVE)",3321,56,3.2,10639
2016,TAYLOR,"SNAPPER, GREY (MANGROVE)",1651,26,2.51,4142
2016,VOLUSIA,"SNAPPER, GREY (MANGROVE)",10271,175,3.46,35552
2016,WAKULLA,"SNAPPER, GREY (MANGROVE)",3987,78,2.98,11873
2017,BAY,"SNAPPER, GREY (MANGROVE)",12116,387,2.29,27763
2017,BREVARD,"SNAPPER, GREY (MANGROVE)",3544,83,4.01,14227
2017,BROWARD,"SNAPPER, GREY (MANGROVE)",204,8,3.57,728
2017,CHARLOTTE,"SNAPPER, GREY (MANGROVE)",179,17,2.35,421
2017,CITRUS,"SNAPPER, GREY (MANGROVE)",1412,69,2.74,3875
2017,COLLIER,"SNAPPER, GREY (MANGROVE)",2301,67,2.39,5493
2017,DIXIE,"SNAPPER, GREY (MANGROVE)",2386,43,2.76,6581
2017,DUVAL,"SNAPPER, GREY (MANGROVE)",8537,152,2.61,22307
2017,ESCAMBIA,"SNAPPER, GREY (MANGROVE)",118,12,1.02,120
2017,FRANKLIN,"SNAPPER, GREY (MANGROVE)",7172,273,2.27,16264
2017,HERNANDO,"SNAPPER, GREY (MANGROVE)",872,19,2.51,2186
2017,HILLSBOROUGH,"SNAPPER, GREY (MANGROVE)",6,1,0.81,5
2017,INDIAN RIVER,"SNAPPER, GREY (MANGROVE)",5286,62,4.39,23190
2017,LEE,"SNAPPER, GREY (MANGROVE)",11962,394,3.29,39381
2017,LEVY,"SNAPPER, GREY (MANGROVE)",2187,50,2.8,6125
2017,MANATEE,"SNAPPER, GREY (MANGROVE)",6636,153,2.19,14505
2017,MARTIN,"SNAPPER, GREY (MANGROVE)",83,17,3.84,319
2017,MIAMI-DADE,"SNAPPER, GREY (MANGROVE)",990,76,3.53,3498
2017,MONROE,"SNAPPER, GREY (MANGROVE)",80298,1149,2.75,220594
2017,OKALOOSA,"SNAPPER, GREY (MANGROVE)",910,75,2.54,2314
2017,PALM BEACH,"SNAPPER, GREY (MANGROVE)",1879,127,4.07,7652
2017,PASCO,"SNAPPER, GREY (MANGROVE)",7053,55,3.23,22805
2017,PINELLAS,"SNAPPER, GREY (MANGROVE)",40306,1061,2.71,109324
2017,SANTA ROSA,"SNAPPER, GREY (MANGROVE)",2,2,0.99,2
2017,SARASOTA,"SNAPPER, GREY (MANGROVE)",1975,98,2.71,5357
2017,ST JOHNS,"SNAPPER, GREY (MANGROVE)",3245,120,2.26,7333
2017,ST LUCIE,"SNAPPER, GREY (MANGROVE)",2055,41,3.29,6762
2017,TAYLOR,"SNAPPER, GREY (MANGROVE)",1608,23,2.53,4065
2017,VOLUSIA,"SNAPPER, GREY (MANGROVE)",6488,113,3.58,23201
2017,WAKULLA,"SNAPPER, GREY (MANGROVE)",3555,73,3.05,10841
